etf_id,etf_name,issuer,market,industry,aum_billion,pcf_url,fetcher_module
00400A,主動國泰動能高息,國泰投信,twse,ETF,<NA>,<NA>,<NA>
00401A,主動摩根台灣鑫收,摩根投信,twse,ETF,<NA>,<NA>,<NA>
00403A,主動統一升級50,統一投信,twse,ETF,<NA>,<NA>,<NA>
00986A,主動台新龍頭成長,台新投信,twse,ETF,<NA>,<NA>,<NA>
00987A,主動台新優勢成長,台新投信,twse,ETF,<NA>,<NA>,<NA>
00988A,主動統一全球創新,統一投信,twse,ETF,<NA>,<NA>,<NA>
00989A,主動摩根美國科技,摩根投信,twse,ETF,<NA>,<NA>,<NA>
00990A,主動元大AI新經濟,元大投信,twse,ETF,<NA>,<NA>,<NA>
00991A,主動復華未來50,復華投信,twse,ETF,<NA>,<NA>,<NA>
00992A,主動群益科技創新,群益投信,twse,ETF,<NA>,<NA>,<NA>
00993A,主動安聯台灣,安聯投信,twse,ETF,<NA>,<NA>,<NA>
00994A,主動第一金台股優,第一金投信,twse,ETF,<NA>,<NA>,<NA>
00995A,主動中信台灣卓越,中信投信,twse,ETF,<NA>,<NA>,<NA>
00996A,主動兆豐台灣豐收,兆豐投信,twse,ETF,<NA>,<NA>,<NA>
00997A,主動群益美國增長,群益投信,twse,ETF,<NA>,<NA>,<NA>
00998A,主動復華金融股息,復華投信,tpex,上櫃ETF,<NA>,<NA>,<NA>
00999A,主動野村臺灣高息,野村投信,twse,ETF,<NA>,<NA>,<NA>
00980A,主動野村臺灣優選,野村投信,twse,ETF,<NA>,<NA>,<NA>
00985A,主動野村台灣50,野村投信,twse,ETF,<NA>,<NA>,<NA>
00981A,主動統一台股增長,統一投信,twse,ETF,<NA>,<NA>,<NA>
00982A,主動群益台灣強棒,群益投信,twse,ETF,<NA>,<NA>,<NA>
00983A,主動中信ARK創新,中信投信,twse,ETF,<NA>,<NA>,<NA>
00984A,主動安聯台灣高息,安聯投信,twse,ETF,<NA>,<NA>,<NA>
